Petition,URL,State,Signatures Count
Make British Sign Language part of the National Curriculum,https://petition.parliament.uk/petitions/200000,closed,35203
Lobster Pots and Small Craft Safety – time to change the rules!,https://petition.parliament.uk/petitions/200001,closed,10770
All high-rise tower blocks over 30 metres must have sprinklers installed.,https://petition.parliament.uk/petitions/200003,closed,271
Hold a referendum on the final Brexit deal,https://petition.parliament.uk/petitions/200004,closed,145119
Give all British citizens living abroad the right to vote and dedicated MPs,https://petition.parliament.uk/petitions/200005,closed,10314
Improve Availability of NHS Services for FND Sufferers,https://petition.parliament.uk/petitions/200007,closed,3297
To have a second referendum on Brexit once a final agreement with the EU agreed.,https://petition.parliament.uk/petitions/200008,closed,981
Legislate to vaccinate all cows against TB and stop culling Badgers.,https://petition.parliament.uk/petitions/200011,closed,131
Fund research into pediatric brain cancer & earlier access to experimental drugs,https://petition.parliament.uk/petitions/200017,closed,21799
Legalise cannabis for medical and recreational use.,https://petition.parliament.uk/petitions/200021,closed,25399
Proscribe Hezbollah as a terrorist organisation in its entirety in the UK,https://petition.parliament.uk/petitions/200023,closed,3950
Voluntary Right to Buy (VRTB) Scheme for Housing Associations - Update Needed,https://petition.parliament.uk/petitions/200025,closed,1539
Pay Up Now! – Scrap the pay cap and give public servants a meaningful pay rise,https://petition.parliament.uk/petitions/200032,closed,149138
Return Scottish devolved powers to UK Government and Parliament,https://petition.parliament.uk/petitions/200033,closed,3080
To retract the £1bn DUP deal and use the money across the whole United Kingdom.,https://petition.parliament.uk/petitions/200035,closed,473
Bring the limit to claim for unfair dismissal down from 2 years to 12 months,https://petition.parliament.uk/petitions/200037,closed,57
Rescind Donald Trump's state visit invitation.,https://petition.parliament.uk/petitions/200043,closed,1638
Mandatory for ALL eye tests to include Pupillary Distance (PD).,https://petition.parliament.uk/petitions/200044,closed,38
"Introduce an unconditional, Universal Basic Income",https://petition.parliament.uk/petitions/200045,closed,1084
Abolish prescription charges,https://petition.parliament.uk/petitions/200052,closed,385
Establish an independent body to fact-check the things said during campaigning,https://petition.parliament.uk/petitions/200053,closed,1155
To install defibrillator into all workplaces with 5 or more employees.,https://petition.parliament.uk/petitions/200059,closed,146
Resolve the inequity/inconsistency refunding for NHS trainees under WAT schemes,https://petition.parliament.uk/petitions/200061,closed,3436
A review for tougher sentences for all of One Punch assaults and fatalities,https://petition.parliament.uk/petitions/200063,closed,785
Debate in Parliament the lack of an effective policy for the treatment of M.E.,https://petition.parliament.uk/petitions/200066,closed,5705
"Video record all PIP, ESA and DLA medical assessments with patient consent",https://petition.parliament.uk/petitions/200071,closed,5110
Allow same sex couples to both be on a birth certificate without being married,https://petition.parliament.uk/petitions/200073,closed,141
Make homework voluntary for children,https://petition.parliament.uk/petitions/200074,closed,34083
Stop the additional stamp duty for second home owners,https://petition.parliament.uk/petitions/200075,closed,51
Age restrictions for buying corrosive products like bleach and drain cleaner,https://petition.parliament.uk/petitions/200077,closed,41
Make Emergency First Aid mandatory in schools,https://petition.parliament.uk/petitions/200085,closed,295
Make fair transitional state pension arrangements for 1950’s women,https://petition.parliament.uk/petitions/200088,closed,117716
Suspend UK training the Burmese Armed Forces.,https://petition.parliament.uk/petitions/200089,closed,251
I want our country to increase our defence budget to 5% GDP to protect us better,https://petition.parliament.uk/petitions/200090,closed,962
Arm the Rohingya who are facing ethnic cleansing in Myanmar,https://petition.parliament.uk/petitions/200091,closed,28
Reform the UK Voting System - Adopt Proportional Representation,https://petition.parliament.uk/petitions/200092,closed,855
Impose 5% levy on the Premier League’s broadcasting rights back into  grassroots,https://petition.parliament.uk/petitions/200094,closed,42844
Make the DNA testing of dogs compulsory in order to compile a national database,https://petition.parliament.uk/petitions/200095,closed,205
Scrap the variable speed limits as a traffic calming measure on the M25,https://petition.parliament.uk/petitions/200098,closed,82
Require HMRC to separate out the cost of Brexit on personal tax statements.,https://petition.parliament.uk/petitions/200099,closed,1908
Legalise drugs,https://petition.parliament.uk/petitions/200103,closed,87
Introduce a maximum wage as a factor of the lowest paid employee's wage.,https://petition.parliament.uk/petitions/200105,closed,46
Grant the Welsh Assembly the same powers as Scotland currently has.,https://petition.parliament.uk/petitions/200106,closed,1483
Scrap credit card age verification on pornographic sites,https://petition.parliament.uk/petitions/200110,closed,240
Extend paternity leave from 2 weeks to at least 4,https://petition.parliament.uk/petitions/200113,closed,431
Stop killing badgers,https://petition.parliament.uk/petitions/200114,closed,2628
When we have any election include a selection for “None of the above”.,https://petition.parliament.uk/petitions/200115,closed,211
Layla's Law Vaccinate all UK children against Meningitis B strain (MenB).,https://petition.parliament.uk/petitions/200117,closed,12080
Don't close Parliamentary Petition system in the months surrounding an election,https://petition.parliament.uk/petitions/200119,closed,96
Stop car Insurance Companies from increasing drivers for no fault accident claim,https://petition.parliament.uk/petitions/200122,closed,180
"Change the law in England to ""opt out"" for organ donations",https://petition.parliament.uk/petitions/200129,closed,3073
End the animal cruelty laws exemptions for halal and shechita slaughter houses,https://petition.parliament.uk/petitions/200131,closed,26711
UK retailers to label all meat non-halal or halal so all religions have a choice,https://petition.parliament.uk/petitions/200133,closed,2227
Move PMQ's to prime time on Tuesdays,https://petition.parliament.uk/petitions/200135,closed,26
We urge the government to reclassify medical negligence as a criminal matter,https://petition.parliament.uk/petitions/200137,closed,889
Make Student Nurses and Midwives eligible for 30 hours free childcare,https://petition.parliament.uk/petitions/200138,closed,328
Explain why the 2016 EU referendum was called with only four months' notice,https://petition.parliament.uk/petitions/200143,closed,309
All halal and kosher meat to be labelled with method of production and slaughter,https://petition.parliament.uk/petitions/200147,closed,3506
Equal pay for 16 to 21 year olds,https://petition.parliament.uk/petitions/200150,closed,84
Make it compulsory that all new building developments incorporate solar panels,https://petition.parliament.uk/petitions/200151,closed,274
Reduce the age of Mandatory Mammograms to age 25-30,https://petition.parliament.uk/petitions/200153,closed,29167
Stop NHS England from removing herbal and homeopathic medicines,https://petition.parliament.uk/petitions/200154,closed,34670
Leave the EU immediately,https://petition.parliament.uk/petitions/200165,closed,141835
A Carbon Tax For Companies Producing over a certain amount of green house gases,https://petition.parliament.uk/petitions/200170,closed,66
Stagger school holidays - stop holiday ripoffs,https://petition.parliament.uk/petitions/200173,closed,42
Create a campaign to raise awareness of the symptoms of type 1 diabetes,https://petition.parliament.uk/petitions/200180,closed,363
Reduce and end unnecessary single-use plastics,https://petition.parliament.uk/petitions/200189,closed,11595
Vaccinate badgers instead of culling,https://petition.parliament.uk/petitions/200200,closed,56
Put tuition fees back to £3000 per year,https://petition.parliament.uk/petitions/200201,closed,220
Put a cap on the amount of hours an NHS employee can work in one shift.,https://petition.parliament.uk/petitions/200202,closed,66
To legalise handguns for fac holders,https://petition.parliament.uk/petitions/200203,closed,757
Ban attendance awards in schools,https://petition.parliament.uk/petitions/200204,closed,2602
End the export of live farm animals after Brexit.,https://petition.parliament.uk/petitions/200205,closed,100752
