Petition,URL,State,Signatures Count
Introduce a rate increase cap on pay TV pricing for football,https://petition.parliament.uk/archived/petitions/104309,closed,22
Impose a heavy extra tax on foreign buyers of property over £3.5 million pounds.,https://petition.parliament.uk/archived/petitions/104311,closed,383
Hold a referendum on electoral reform with the format used in New Zealand.,https://petition.parliament.uk/archived/petitions/104317,closed,4767
Make the 'Steam' refund policy the law for all video game digital distribution.,https://petition.parliament.uk/archived/petitions/104318,closed,94
Ban unpaid internships,https://petition.parliament.uk/archived/petitions/104319,closed,438
Maintain current level of BBC funding as a minimum.,https://petition.parliament.uk/archived/petitions/104320,closed,77
Create a Proportional Representation system for UK General Elections.,https://petition.parliament.uk/archived/petitions/104324,closed,2535
Ban immigration by cousin marriage,https://petition.parliament.uk/archived/petitions/104325,closed,181
Review ECV guidlines to lower the risk of our daughters' death being repeated,https://petition.parliament.uk/archived/petitions/104329,closed,875
To debate a vote of no confidence in Health Secretary the Right Hon Jeremy Hunt,https://petition.parliament.uk/archived/petitions/104334,closed,231136
Government should officially announce beginning and end of lunar calendar months,https://petition.parliament.uk/archived/petitions/104337,closed,12
To stop fixed penalty notices for unauthorised absence from school,https://petition.parliament.uk/archived/petitions/104338,closed,3650
Introduce a UK National Day to celebrate our United Kingdom.,https://petition.parliament.uk/archived/petitions/104343,closed,10221
Make casinos check all visitors against a database to protect problem gamblers.,https://petition.parliament.uk/archived/petitions/104345,closed,50
Add more higher rate council tax bands for properties worth over £1 million.,https://petition.parliament.uk/archived/petitions/104346,closed,123
"Make the production, sale and use of cannabis legal.",https://petition.parliament.uk/archived/petitions/104349,closed,236995
Scrap the House of Lords and replace with a new 'House of Heroes',https://petition.parliament.uk/archived/petitions/104352,closed,100
Stop unfair tax credit changes to middle to low income earners,https://petition.parliament.uk/archived/petitions/104356,closed,2169
Save Vulcan XH558. Persuade technical authorities to reconsider ending support.,https://petition.parliament.uk/archived/petitions/104358,closed,11409
Bring back rent control (The Fair Rent Act),https://petition.parliament.uk/archived/petitions/104359,closed,542
Legislate to introduce minimum sentences for assaulting police officers.,https://petition.parliament.uk/archived/petitions/104360,closed,18741
Keep Sunday Trading Laws the same.,https://petition.parliament.uk/archived/petitions/104363,closed,545
"Abolish the car tax system as it is. Add it to petrol, help save the environment",https://petition.parliament.uk/archived/petitions/104364,closed,191
"Minimum wage for carers £9 per hour we buy our own cars ,petrol,tyres etc",https://petition.parliament.uk/archived/petitions/104366,closed,9120
Abolish the TV licence,https://petition.parliament.uk/archived/petitions/104367,closed,14288
Give better pay and support for us carers,https://petition.parliament.uk/archived/petitions/104368,closed,3597
"Give all Disabled People and WCA a fair assessment by Atos, Capita and Maximus.",https://petition.parliament.uk/archived/petitions/104371,closed,2470
STOP MINTING COPPER COINS (1p & 2p pieces),https://petition.parliament.uk/archived/petitions/104372,closed,153
Raise the speed limit to 80 mph on Motorways.,https://petition.parliament.uk/archived/petitions/104377,closed,767
Introduce an independent pay review of public sector workers,https://petition.parliament.uk/archived/petitions/104378,closed,8203
"Introduce Compulsory Scanning for microchips by vets, rescues and authorities.",https://petition.parliament.uk/archived/petitions/104379,closed,70800
Lower the age to 16 to obtain a provisional driving licence for cars.,https://petition.parliament.uk/archived/petitions/104388,closed,46
Force hotel websites to have photos of accessible rooms/bathrooms on website,https://petition.parliament.uk/archived/petitions/104391,closed,153
We would like to have the choking game educated to all who work with children.,https://petition.parliament.uk/archived/petitions/104392,closed,44
Stop the bedroom tax and social housing changes,https://petition.parliament.uk/archived/petitions/104395,closed,2185
Statutory regulation Physicians' Assistants (Anaesthesia) & Physician Associates,https://petition.parliament.uk/archived/petitions/104396,closed,335
